container_id,location_id,tier,observed_at,source
CT-0099,A3,4,2026-09-20T08:00:00Z,inventory
CT-0100,A4,4,2026-09-20T08:00:00Z,inventory
CT-0101,B1,4,2026-09-20T08:00:00Z,inventory
CT-0102,B2,4,2026-09-20T08:00:00Z,inventory
CT-0103,B3,4,2026-09-20T08:00:00Z,inventory
CT-0104,B4,4,2026-09-20T08:00:00Z,inventory
CT-0105,C1,4,2026-09-20T08:00:00Z,inventory
CT-0106,C2,4,2026-09-20T08:00:00Z,inventory
CT-0107,C3,4,2026-09-20T08:00:00Z,inventory
CT-0108,C4,4,2026-09-20T08:00:00Z,inventory
CT-0109,D1,4,2026-09-20T08:00:00Z,inventory
CT-0110,D2,4,2026-09-20T08:00:00Z,inventory
CT-0111,D3,4,2026-09-20T08:00:00Z,inventory
CT-0112,D4,4,2026-09-20T08:00:00Z,inventory
CT-0113,E1,4,2026-09-20T08:00:00Z,inventory
CT-0114,E2,4,2026-09-20T08:00:00Z,inventory
CT-0115,E3,4,2026-09-20T08:00:00Z,inventory
CT-0116,E4,4,2026-09-20T08:00:00Z,inventory
CT-0117,F1,4,2026-09-20T08:00:00Z,inventory
CT-0118,F2,4,2026-09-20T08:00:00Z,inventory
CT-0119,F3,4,2026-09-20T08:00:00Z,inventory
CT-0120,F4,4,2026-09-20T08:00:00Z,inventory
CT-0121,A1,5,2026-09-20T08:00:00Z,inventory
CT-0122,A1,6,2026-09-20T08:00:00Z,inventory
CT-0123,A3,5,2026-09-20T08:00:00Z,inventory
CT-0124,A4,5,2026-09-20T08:00:00Z,inventory
CT-0125,B1,5,2026-09-20T08:00:00Z,inventory
CT-0126,B2,5,2026-09-20T08:00:00Z,inventory
CT-0127,B3,5,2026-09-20T08:00:00Z,inventory
CT-0128,B4,5,2026-09-20T08:00:00Z,inventory
CT-0129,C1,5,2026-09-20T08:00:00Z,inventory
CT-0130,C2,5,2026-09-20T08:00:00Z,inventory
CT-0131,C3,5,2026-09-20T08:00:00Z,inventory
CT-0132,C4,5,2026-09-20T08:00:00Z,inventory
CT-0133,VESSEL-1,0,2026-09-20T08:00:00Z,inventory
CT-0134,VESSEL-1,1,2026-09-20T08:00:00Z,inventory
CT-0135,VESSEL-1,2,2026-09-20T08:00:00Z,inventory
CT-0136,VESSEL-1,3,2026-09-20T08:00:00Z,inventory
CT-0137,VESSEL-1,4,2026-09-20T08:00:00Z,inventory
CT-0138,VESSEL-1,5,2026-09-20T08:00:00Z,inventory
CT-0139,GATE-IN,6,2026-09-20T08:00:00Z,inventory
CT-0140,GATE-IN,7,2026-09-20T08:00:00Z,inventory
CT-0141,GATE-IN,8,2026-09-20T08:00:00Z,inventory
CT-0142,GATE-IN,9,2026-09-20T08:00:00Z,inventory
CT-0143,GATE-IN,10,2026-09-20T08:00:00Z,inventory
CT-0144,GATE-IN,11,2026-09-20T08:00:00Z,inventory
